price,genres
421.99,Simulation
303.99,Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Web Publishing;Game Development
209.99,Animation & Modeling;Design & Illustration;Game Development
154.99,Action;Simulation;Strategy
154.99,Adventure;Indie;Early Access
154.99,Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Web Publishing;Game Development
154.99,Violent;Gore;Action;Adventure;Indie;Massively Multiplayer
154.99,Action;Simulation;Strategy
154.99,Adventure;Casual;Indie;Simulation
154.99,Animation & Modeling;Design & Illustration;Video Production
114.99,Animation & Modeling;Design & Illustration;Education;Utilities;Web Publishing;Game Development
98.99,Audio Production
95.99,Animation & Modeling
79.99,Animation & Modeling;Utilities
78.99,Indie;Racing;Simulation
